"Record_number","Entry_date","Study_number","Author","Quality_flag","Contributor","Country","Region","Site_name","Site_ID","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_growingseason","Rs_wet","Rs_dry","GPP","ER","NEP","NPP","ANPP","BNPP","TBCA","Litter_flux","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes"
276,"2008-10-24",3653,"Wang","Q02","BBL","China",NA,"Maoershan ERS-Oak","CN-MAE-OAK",2004.5,1.5,45.37,127.53,300,"None",NA,NA,56,"Quercus mongolica","Temperate","Forest","Natural","Deciduous","Mature","Haplumbrepts or Eutroboralfs","Dry",NA,NA,NA,NA,NA,2.8,700,NA,NA,NA,"IRGA",NA,5,NA,NA,14,0.5,"Exclusion",785,16,NA,NA,524,261,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,"RC data from #4133"
277,"2008-10-24",3653,"Wang","Q02","BBL","China",NA,"Maoershan ERS-Aspen","CN-MAE-ASPEN",2004.5,1.5,45.37,127.53,300,"None",NA,NA,55,"Populus davidiana","Temperate","Forest","Natural","Deciduous","Mature","Haplumbrepts or Eutroboralfs","Dry",NA,NA,NA,NA,NA,2.8,700,NA,NA,NA,"IRGA",NA,5,NA,NA,14,0.5,"Exclusion",813,26,NA,NA,626,187,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,"RC data from #4133"
278,"2008-10-24",3653,"Wang","Q02","BBL","China",NA,"Maoershan ERS-DecidMix","CN-MAE-MF",2004.5,1.5,45.37,127.53,300,"None",NA,NA,55,"Mix","Temperate","Forest","Natural","Deciduous","Mature","Haplumbrepts or Eutroboralfs","Dry",NA,NA,NA,NA,NA,2.8,700,NA,NA,NA,"IRGA",NA,5,NA,NA,14,0.5,"Exclusion",786,30,NA,NA,485,301,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,NA,NA,NA,NA,NA,NA,NA,NA,"RC data from #4133"
279,"2008-10-24",3653,"Wang","Q02","BBL","China",NA,"Maoershan ERS-Hardwood","CN-MAE-HW",2004.5,1.5,45.37,127.53,300,"None",NA,NA,50,"Fraxinus mandshurica","Temperate","Forest","Natural","Deciduous","Mature","Haplumbrepts or Eutroboralfs","Dry",NA,NA,NA,NA,NA,2.8,700,NA,NA,NA,"IRGA",NA,5,NA,NA,14,0.5,"Exclusion",781,16,NA,NA,536,245,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,NA,NA,NA,NA,NA,NA,NA,NA,"RC data from #4133"
280,"2008-10-25",3653,"Wang","Q02","BBL","China",NA,"Maoershan ERS-Pine","CN-MAE-PINE",2004.5,1.5,45.37,127.53,300,"None",NA,NA,39,"Pinus koraiensis","Temperate","Forest","Natural","Evergreen","Mature","Haplumbrepts or Eutroboralfs","Dry",NA,NA,NA,NA,NA,2.8,700,NA,NA,NA,"IRGA",NA,5,NA,NA,14,0.5,"Exclusion",514,26,NA,NA,425,89,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,NA,NA,NA,NA,NA,NA,NA,NA,"RC data from #4133"
281,"2008-10-25",3653,"Wang","Q02","BBL","China",NA,"Maoershan ERS-Larch","CN-MAE-LARCH",2004.5,1.5,45.37,127.53,300,"None",NA,NA,47,"Larix gmelinii","Temperate","Forest","Natural","Deciduous","Mature","Haplumbrepts or Eutroboralfs","Dry",NA,NA,NA,NA,NA,2.8,700,NA,NA,NA,"IRGA",NA,5,NA,NA,14,0.5,"Exclusion",403,14,NA,NA,207,196,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,"RC data from #4133"
480,"2009-01-13",3675,"Jiabing","Q03","BBL","China",NA,"Changbai Mountain","CN-CHM",2003,1,42.4,128.1,738,"None",NA,NA,300,"Pinus koriaensis","Temperate","Forest","Natural","Evergreen","Mature","Mollisol","Dry",NA,NA,NA,NA,NA,3.5,732,NA,NA,NA,"IRGA",50,NA,2500,NA,20,1,NA,1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1511,1327,184.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q10(5-15) from author calculations"
1222,"2009-03-26",2686,"Lou","Q01","BBL","China",NA,"Ecological Station of Red Soil (Yingtan)","CN-ESR-T",1999.5,1,28.26,116.93,NA,"None",NA,NA,1,"Setaria italica; Hordeum vulgare","Subtropical","Agriculture","Managed","Deciduous","Aggrading","Sandy loam (tertiary red sandstone)","Dry",1.26,NA,NA,NA,NA,17.6,1795,1318,NA,NA,"IRGA",31,5,510.45,NA,14,1,NA,581,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,423,77,NA,NA,NA,NA,NA,"R10 estimated from figure"
1223,"2009-03-26",2686,"Lou","Q01","BBL","China",NA,"Ecological Station of Red Soil (Yingtan)","CN-ESR-Q",1999.5,1,28.26,116.93,NA,"None",NA,NA,1,"Setaria italica; Hordeum vulgare","Subtropical","Agriculture","Managed","Deciduous","Aggrading","Clay (quaternary red clay)","Dry",1.35,NA,NA,NA,NA,17.6,1795,1318,NA,NA,"IRGA",31,5,510.45,NA,14,1,NA,385,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,413,70,NA,NA,NA,NA,NA,"R10 estimated from figure"
1224,"2009-03-26",2686,"Lou","Q01","BBL","China",NA,"Ecological Station of Red Soil (Yingtan)","CN-ESR-G",1999.5,1,28.26,116.93,NA,"None",NA,NA,1,"Setaria italica; Hordeum vulgare","Subtropical","Agriculture","Managed","Deciduous","Aggrading","Sand (granite)","Dry",1.19,NA,NA,NA,NA,17.6,1795,1318,NA,NA,"IRGA",31,5,510.45,NA,14,1,NA,775,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457,389,67,NA,NA,NA,NA,NA,"R10 estimated from figure"
